DATASET,TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TP,FP,TN,FN,NPOFB20,COST
zookeeper,7,83.72881355932203,Naive Bayes,true,false,false,0.46153846153846156,0.07741935483870968,0.667686371353604,0.09916802142105756,12.0,14.0,1031.0,143.0,0.16129032258064516,1444
zookeeper,8,85.90564938846826,Naive Bayes,true,false,false,0.4722222222222222,0.09444444444444444,0.614247572815534,0.11344605475040258,17.0,19.0,1011.0,163.0,0.16666666666666666,1649
zookeeper,9,80.8761186999529,Naive Bayes,true,false,false,0.3392857142857143,0.10555555555555556,0.7147912912912913,0.12416107382550291,19.0,37.0,1813.0,161.0,0.19444444444444445,1647
zookeeper,10,83.84676145339652,Naive Bayes,true,false,false,0.41025641025641024,0.09411764705882353,0.6560690196078431,0.12599451882794643,16.0,23.0,1852.0,154.0,0.23529411764705882,1563
zookeeper,11,90.62276306370795,Naive Bayes,true,false,false,0.6714285714285714,0.235,0.7831734234234234,0.2921093030396071,47.0,23.0,1087.0,153.0,0.225,1553
zookeeper,12,100.0,Naive Bayes,true,false,false,0.0,0.0,NaN,1.0,0.0,0.0,0.0,0.0,0.0,0
zookeeper,13,91.39679424272163,Naive Bayes,true,false,false,0.5714285714285714,0.16363636363636364,0.66093399750934,0.19441097481309424,36.0,27.0,1068.0,184.0,0.20454545454545456,1867
zookeeper,14,92.05058717253839,Naive Bayes,true,false,false,0.6388888888888888,0.09787234042553192,0.6604549465633885,0.1285211267605635,23.0,13.0,1072.0,212.0,0.1956521739130435,2133
zookeeper,15,92.63598326359832,Naive Bayes,true,false,false,0.8888888888888888,0.1306122448979592,0.6929549121974371,0.18919836956521716,32.0,4.0,1071.0,213.0,0.16326530612244897,2134
zookeeper,16,92.65960196433187,Naive Bayes,true,false,false,0.967741935483871,0.1276595744680851,0.688851782027112,0.19449263389783839,30.0,1.0,1184.0,205.0,0.2127659574468085,2051
zookeeper,17,93.09432146294515,Naive Bayes,true,false,false,0.8723404255319149,0.12424242424242424,0.6051926504867682,0.1699102897200844,41.0,6.0,1099.0,289.0,0.13636363636363635,2896
zookeeper,18,93.54040063020481,Naive Bayes,true,false,false,0.7142857142857143,0.06944444444444445,0.594188630490956,0.08594507269789958,25.0,10.0,1065.0,335.0,0.1267605633802817,3360
zookeeper,19,93.9323467230444,Naive Bayes,true,false,false,0.8518518518518519,0.05476190476190476,0.5782887637813746,0.07002658521409588,23.0,4.0,1011.0,397.0,0.12048192771084337,3974
zookeeper,20,93.99841017488076,Naive Bayes,true,false,false,0.7738095238095238,0.15476190476190477,0.664696373962429,0.18210520217819487,65.0,19.0,1071.0,355.0,0.15476190476190477,3569
zookeeper,21,93.8981153200224,Naive Bayes,true,false,false,0.4330708661417323,0.14864864864864866,0.6288708471317167,0.11949374839100248,55.0,72.0,1193.0,315.0,0.08108108108108109,3222
zookeeper,22,93.85288966725044,Naive Bayes,true,false,false,0.5045871559633027,0.171875,0.6650892857142857,0.18047677252666042,55.0,54.0,1381.0,265.0,0.109375,2704
zookeeper,1,49.840255591054316,IBk,true,false,false,0.0,0.0,0.5062594635518062,0.0,0.0,0.0,804.0,138.0,0.22727272727272727,1380
zookeeper,2,64.93775933609959,IBk,true,false,false,0.0,0.0,0.5501373171861558,0.0,0.0,0.0,876.0,138.0,0.21739130434782608,1380
zookeeper,3,74.03993855606758,IBk,true,false,false,0.375,0.020833333333333332,0.6446320242656449,0.024897249446728286,3.0,5.0,865.0,141.0,0.375,1415
zookeeper,4,77.22419928825623,IBk,true,false,false,0.5454545454545454,0.09090909090909091,0.5457070707070707,0.12727272727272726,12.0,10.0,1010.0,120.0,0.1111111111111111,1210
zookeeper,5,81.44927536231884,IBk,true,false,false,0.47368421052631576,0.05357142857142857,0.6264941444057298,0.06865671641791081,9.0,10.0,974.0,159.0,0.39285714285714285,1600
zookeeper,6,83.80566801619433,IBk,true,false,false,0.8235294117647058,0.06666666666666667,0.6652405002405002,0.09975118751413665,14.0,3.0,987.0,196.0,0.42857142857142855,1963
zookeeper,7,83.72881355932203,IBk,true,false,false,0.4666666666666667,0.07526881720430108,0.6710912177805217,0.09723889555822317,14.0,16.0,1238.0,172.0,0.16129032258064516,1736
zookeeper,8,85.90564938846826,IBk,true,false,false,0.4666666666666667,0.09722222222222222,0.6173701006832075,0.11555021527986362,21.0,24.0,1212.0,195.0,0.2571428571428571,1974
zookeeper,9,80.8761186999529,IBk,true,false,false,0.3188405797101449,0.10185185185185185,0.7102571321321322,0.116450849722779,22.0,47.0,2173.0,194.0,0.2777777777777778,1987
zookeeper,10,83.84676145339652,IBk,true,false,false,0.3541666666666667,0.08333333333333333,0.6576383442265795,0.10662899282593843,17.0,31.0,2219.0,187.0,0.23529411764705882,1901
zookeeper,11,90.62276306370795,IBk,true,false,false,0.651685393258427,0.24166666666666667,0.7781531531531531,0.29429171198057585,58.0,31.0,1301.0,182.0,0.25,1851
zookeeper,12,100.0,IBk,true,false,false,0.0,0.0,NaN,1.0,0.0,0.0,0.0,0.0,0.0,0
zookeeper,13,91.39679424272163,IBk,true,false,false,0.5714285714285714,0.16666666666666666,0.6640578155989115,0.19742603157755095,44.0,33.0,1281.0,220.0,0.20454545454545456,2233
zookeeper,14,92.05058717253839,IBk,true,false,false,0.5853658536585366,0.0851063829787234,0.66096757852077,0.1083052887567855,24.0,17.0,1285.0,258.0,0.23404255319148937,2597
zookeeper,15,92.63598326359832,IBk,true,false,false,0.8409090909090909,0.12585034013605442,0.6919184728154828,0.17927461139896392,37.0,7.0,1283.0,257.0,0.2653061224489796,2577
zookeeper,16,92.65960196433187,IBk,true,false,false,0.9473684210526315,0.1276595744680851,0.694220007780471,0.19329271086269328,36.0,2.0,1420.0,246.0,0.2978723404255319,2462
zookeeper,17,93.09432146294515,IBk,true,false,false,0.8727272727272727,0.12121212121212122,0.6120404649816414,0.16608690670093385,48.0,7.0,1319.0,348.0,0.18181818181818182,3487
zookeeper,18,93.54040063020481,IBk,true,false,false,0.7105263157894737,0.0625,0.6016284453057709,0.07746990372282063,27.0,11.0,1279.0,405.0,0.2638888888888889,4061
zookeeper,19,93.9323467230444,IBk,true,false,false,0.8333333333333334,0.0496031746031746,0.5856505916542862,0.06281288372532332,25.0,5.0,1213.0,479.0,0.2261904761904762,4795
zookeeper,20,93.99841017488076,IBk,true,false,false,0.7333333333333333,0.1527777777777778,0.6591776491432455,0.1736128652016501,77.0,28.0,1280.0,427.0,0.13095238095238096,4298
zookeeper,21,93.8981153200224,IBk,true,false,false,0.44966442953020136,0.15090090090090091,0.632812407268929,0.12665033544940904,67.0,82.0,1436.0,377.0,0.16216216216216217,3852
zookeeper,22,93.85288966725044,IBk,true,false,false,0.4782608695652174,0.171875,0.6641108933410763,0.17315985938462652,66.0,72.0,1650.0,318.0,0.203125,3252
